n_train,cross_entropy,f1,seed,experiment,test_acc,n_test,value,train_time,dataset,method,n_params
32,0.4942496840273295,0.75,1,13_qifm_hybrid_enc,0.75,32,,15.968982934951782,two_moons,qifm,31
32,,,1,13_qifm_hybrid_enc,0.8125,32,,,two_moons,logreg,3
32,,,1,13_qifm_hybrid_enc,0.90625,32,,,two_moons,mlp,17
32,,,1,13_qifm_hybrid_enc,1.0,32,,,two_moons,rbf_svm,52
32,,,1,13_qifm_hybrid_enc,0.84375,32,,,two_moons,rff,97
32,3.6726657909395124,0.7408906882591093,0,14_qifm_no_hopping,0.75,32,,14.006388902664185,checkerboard,qifm,28
32,,,0,14_qifm_no_hopping,0.65625,32,,,checkerboard,logreg,3
32,,,0,14_qifm_no_hopping,0.625,32,,,checkerboard,mlp,17
32,,,0,14_qifm_no_hopping,0.65625,32,,,checkerboard,rbf_svm,76
32,,,0,14_qifm_no_hopping,0.71875,32,,,checkerboard,rff,97
32,0.9605101546912707,0.5933528836754643,1,14_qifm_no_hopping,0.59375,32,,14.016587018966675,checkerboard,qifm,28
32,,,1,14_qifm_no_hopping,0.625,32,,,checkerboard,logreg,3
32,,,1,14_qifm_no_hopping,0.59375,32,,,checkerboard,mlp,17
32,,,1,14_qifm_no_hopping,0.59375,32,,,checkerboard,rbf_svm,91
32,,,1,14_qifm_no_hopping,0.59375,32,,,checkerboard,rff,97
32,0.9649490220039718,0.8745098039215686,0,15_qifm_no_entanglement,0.875,32,,15.04688572883606,two_moons,qifm,30
32,,,0,15_qifm_no_entanglement,0.9375,32,,,two_moons,logreg,3
32,,,0,15_qifm_no_entanglement,0.78125,32,,,two_moons,mlp,17
32,,,0,15_qifm_no_entanglement,0.9375,32,,,two_moons,rbf_svm,58
32,,,0,15_qifm_no_entanglement,0.96875,32,,,two_moons,rff,97
32,0.19385532714353323,0.9671794871794872,1,15_qifm_no_entanglement,0.96875,32,,15.06486201286316,two_moons,qifm,30
32,,,1,15_qifm_no_entanglement,0.8125,32,,,two_moons,logreg,3
32,,,1,15_qifm_no_entanglement,0.90625,32,,,two_moons,mlp,17
32,,,1,15_qifm_no_entanglement,1.0,32,,,two_moons,rbf_svm,52
32,,,1,15_qifm_no_entanglement,0.84375,32,,,two_moons,rff,97
32,0.21970197837567357,0.9687194525904204,0,16_qifm_with_data_potential,0.96875,32,,16.68220806121826,two_moons,qifm,31
32,,,0,16_qifm_with_data_potential,0.9375,32,,,two_moons,logreg,3
32,,,0,16_qifm_with_data_potential,0.78125,32,,,two_moons,mlp,17
32,,,0,16_qifm_with_data_potential,0.9375,32,,,two_moons,rbf_svm,58
32,,,0,16_qifm_with_data_potential,0.96875,32,,,two_moons,rff,97
32,0.4942496840273295,0.75,1,16_qifm_with_data_potential,0.75,32,,16.034117937088013,two_moons,qifm,31
32,,,1,16_qifm_with_data_potential,0.8125,32,,,two_moons,logreg,3
32,,,1,16_qifm_with_data_potential,0.90625,32,,,two_moons,mlp,17
32,,,1,16_qifm_with_data_potential,1.0,32,,,two_moons,rbf_svm,52
32,,,1,16_qifm_with_data_potential,0.84375,32,,,two_moons,rff,97
32,0.3802495662756161,0.8423645320197044,0,17_qifm_fixed_projectors,0.84375,32,,7.413188219070435,two_moons,qifm,15
32,,,0,17_qifm_fixed_projectors,0.9375,32,,,two_moons,logreg,3
32,,,0,17_qifm_fixed_projectors,0.78125,32,,,two_moons,mlp,17
32,,,0,17_qifm_fixed_projectors,0.9375,32,,,two_moons,rbf_svm,58
32,,,0,17_qifm_fixed_projectors,0.96875,32,,,two_moons,rff,97
32,0.25523179142091196,0.8423645320197044,1,17_qifm_fixed_projectors,0.84375,32,,7.473225116729736,two_moons,qifm,15
32,,,1,17_qifm_fixed_projectors,0.8125,32,,,two_moons,logreg,3
32,,,1,17_qifm_fixed_projectors,0.90625,32,,,two_moons,mlp,17
32,,,1,17_qifm_fixed_projectors,1.0,32,,,two_moons,rbf_svm,52
32,,,1,17_qifm_fixed_projectors,0.84375,32,,,two_moons,rff,97
